table_name
collations
information_schema_catalog_name
applicable_roles
domain_constraints
administrable_role_authorizations
collation_character_set_applicability
attributes
character_sets
column_udt_usage
check_constraint_routine_usage
column_column_usage
check_constraints
constraint_table_usage
column_domain_usage
columns
column_privileges
constraint_column_usage
domain_udt_usage
domains
enabled_roles
key_column_usage
parameters
table_privileges
referential_constraints
sql_features
role_column_grants
routine_column_usage
routine_privileges
role_routine_grants
routine_routine_usage
sql_implementation_info
routine_sequence_usage
routine_table_usage
routines
schemata
sql_parts
sequences
transforms
sql_sizing
role_table_grants
table_constraints
triggers
tables
triggered_update_columns
udt_privileges
role_udt_grants
usage_privileges
role_usage_grants
user_defined_types
view_column_usage
foreign_servers
view_routine_usage
view_table_usage
_pg_foreign_tables
views
data_type_privileges
element_types
_pg_foreign_table_columns
foreign_table_options
column_options
_pg_foreign_data_wrappers
foreign_data_wrapper_options
foreign_data_wrappers
_pg_foreign_servers
foreign_tables
foreign_server_options
_pg_user_mappings
user_mapping_options
user_mappings
